meeting_date,contract_amount,file_label,file_size,page_count,doc_type,text_length,has_signatures,has_terms,has_scope,has_dollar_amounts,has_dates,has_vendor_info,has_insurance_requirements,has_termination_clause,has_payment_terms,has_legal_boilerplate,has_po_number,has_account_code,has_board_resolution,resolution_preview
20240229,432378.0,Attc 8.17 - AF10413.pdf (885 KB),885204,3,PROPOSAL/QUOTE,4059,True,False,True,True,False,False,False,False,False,False,False,False,False,"WHEREAS , the Jersey City Public School District is in need of providing (PD23-24-CC16-81) Professional Development in Dual TESL Certification and Bilingual Endorsement; and WHEREAS , a notice was pub"
20240229,134987.29,Attc 9.01 - AF10635.pdf (780 KB),779659,1,OTHER,725,False,False,False,True,False,False,False,False,False,False,False,False,False,"WHEREAS , NJAC 6A:14-7.8(b) specifies that there is to be a tuition contract between the sending school district and the receiving school district when service in the pupil's IEP are purchased for edu"
20240229,2390000.0,Attc 9.02 - AF10641.pdf (900 KB),900275,1,OTHER,1086,False,False,False,True,False,False,False,False,True,False,False,False,False,"WHEREAS , Strulowitz & Gargiulo was awarded the OT/PT Services contract (PD23-24-RFP4-4) approved on June 15, 2023 (Resolution 8.07) in the amount of $1,250,000.00; and WHEREAS , due to increase in se"
20240229,1534015.0,Attc 9.04 - AF10676.pdf (893 KB),892856,1,OTHER,1178,False,False,False,True,False,False,False,False,False,False,False,False,False,"WHEREAS , E.B.S Healthcare Staffing Service Education was awarded the Speech Services contract (PD23-24-RFP5-5) approved on June 15,2023 (Resolution 8.06) in the amount of $700,000.00; and WHEREAS , d"
20240229,513411.0,Attc 10.14 - AF10604.pdf (912 KB),911716,2,OTHER,1880,False,False,False,True,False,False,False,False,False,False,False,False,False,"WHEREAS , the Jersey City School District is in need of (PD23-24-TD5-82) Transportation To and From Special Education/Bilingual Schools; and WHEREAS , a notice was published in two (2) newspapers and "
20240229,27000.0,"Attc 10.16 - AF10663.pdf (1,076 KB)",1075518,1,OTHER,513,False,False,False,True,False,False,False,False,False,False,False,False,False,"WHEREAS , the Jersey City Public School District is in need of (PD23-24-83) Diplomas and Diploma Covers; and WHEREAS , a notice was published in two (2) newspapers and the Jersey City Board of Educati"
20240229,2074000.0,Attc 11.10 - AF10659.pdf (883 KB),882742,1,OTHER,779,False,False,False,True,False,False,False,False,False,False,False,False,False,"WHEREAS , the Jersey City Public Schools is in need of (PD23-24-MD12-77) Four (4) Sixty (60) Ton Single Package Cooling Units; and WHEREAS , invitations to bid were sent to four (4) vendors and publis"
20240522,39737.0,"Attc 8.02 - AF11292.pdf (1,206 KB)",1206229,4,OTHER,5334,True,True,False,False,False,False,False,False,True,False,False,False,False,"WHEREAS , Finalsite, provides the licenses, support and maintenance of Integrated Communication System proprietary software; and WHEREAS , the licenses, maintenance and support services must be renewe"
20240522,48000.0,Attc 8.06 - AF10814.pdf (744 KB),744315,1,OTHER,906,False,False,False,False,False,False,False,False,False,False,False,False,False,"WHEREAS , pursuant to N.J.S.A . 18A:18A-42 and the recommendation of the Assistant Superintendent; and WHEREAS , Educational Arts Team has offered to renew for year 3 of their contract for (PD22-23-CC"
20240522,150396.0,"Attc 9.01 - AF11149.pdf (2,163 KB)",2162683,20,OTHER,63235,False,False,False,True,False,False,False,False,False,False,False,False,False,"WHEREAS , the Special Education Department requires maintenance and support for the EDPlan (July 1, 2024 thru June 30, 2025); and WHEREAS , hosting, support and maintenance of Proprietary Software is "
20240522,812351.17,Attc 9.03 - AF11147.pdf (841 KB),841122,1,OTHER,4903,False,False,False,True,False,False,False,False,False,False,False,False,False,"WHEREAS , NJAC 6A:14-7.8(b) specifies that there is to be a tuition contract between the sending school district and the receiving school district when service in the pupil's IEP are purchased for edu"
20240522,547332.0,11106_1_HR.PR Award Report.pdf (338 KB),338000,3,OTHER,3980,False,False,True,False,False,False,False,False,False,False,False,False,False,"WHEREAS , the Jersey City Public School District is in need of updating its (PD23-24-CC12-69) web Based Financial (Cloud-Based) and HR Management Systems; and WHEREAS , a notice was published in two ("
20240522,547332.0,Attc 10.13 - AF11106.pdf (763 KB),762652,1,OTHER,765,False,False,False,True,False,False,False,False,False,False,False,False,False,"WHEREAS , the Jersey City Public School District is in need of updating its (PD23-24-CC12-69) web Based Financial (Cloud-Based) and HR Management Systems; and WHEREAS , a notice was published in two ("
20240522,2774730.0,Attc 10.15 - AF11183.pdf (772 KB),771510,1,OTHER,573,False,False,False,True,True,False,False,False,False,False,False,False,False,"WHEREAS , in accordance with N.J.S.A . 18A:18A-42 and upon the recommendation of the Director of Food Services; and WHEREAS , Whitson Culinary Group, 1800 Motor Parkway, Islandia, NY 11749 has offered"
20240522,61990.0,Attc 10.16 - AF11344.pdf (755 KB),755278,1,OTHER,1673,False,False,False,False,False,False,False,False,True,False,False,False,False,"WHEREAS , the Jersey City Public School District is a member of the TIPS-Interlocal Purchasing Cooperative and is permitted to award contracts to vendors pursuant thereto under the authority of N.J.S."
20240522,30000.0,"Attc 10.19 - AF10860.pdf (1,112 KB)",1112206,1,OTHER,852,False,False,False,True,True,False,False,False,False,False,False,False,False,"WHEREAS , the Jersey City Public Schools District is in need of Equipment Repair Services (Exclusive of Refrigerators and Freezers); and WHEREAS , the District has advertised for Equipment Repair Serv"
20240522,75000.0,Attc 11.05 - AF11300.pdf (737 KB),736871,1,OTHER,906,False,False,False,True,False,False,False,False,False,False,False,False,False,"WHEREAS , the Jersey City Public Schools is in need of (PD24-25-003) Brick & Refractory Services at Various Schools; and WHEREAS , the invitation to bid was published in two (2) newspapers and the Jer"
